"id","name","symbol","volume24h"
1582,First Digital USD,FDUSD,7412237054.568771
1583,BNB,BNB,3315500186.6801476
1584,"48 Club Token",KOGE,688219040.5896609
1585,Marina Protocol,BAY,631972933.8468804
1586,Nubila Network,NB,387257443.8888502
1587,Allora,ALLO,250753001.27208203
1588,Kite,KITE,226884313.00203145
1589,MetaArena,TIMI,226863749.89064983
1590,Momentum,MMT,189662076.59569636
1591,Mantle,MNT,140420771.3777646
1592,Horizen,ZEN,98393169.07100025
1593,UnifAI Network,UAI,91133105.23701793
1594,Planck,PLANCK,86010865.79152755
1595,OVERTAKE,TAKE,81702310.01753446
1596,EUR CoinVertible,EURCV,78744282.10079493
1597,Piggycell,PIGGY,68762883.38052367
1598,Jupiter Perps LP,JLP,65099169.10530982
1599,Yooldo,ESPORTS,57996732.9385615
1600,LayerZero,ZRO,51205561.12077244
1601,Neiro,NEIRO,47796372.25190964
1602,EVAA Protocol,EVAA,46594955.59640153
1603,Janction,JCT,46165017.19707377
1604,Canton,CC,44844526.58327404
1605,MetYa,MY,43906399.73228172
1606,dYdX,DYDX,37716644.40832378
1607,NEXPACE,NXPC,37445785.10764776
1608,币安人生,币安人生,36901432.47022736
1609,Tesla tokenized stock (xStock),TSLAX,36813766.23438169
1610,Humanity Protocol,H,35644505.51458863
1611,Global Dollar,USDG,34443796.14311644
1612,MYX Finance,MYX,32743907.40330324
1613,Aria Protocol,ARIAIP,31806223.14096699
1614,Safe,SAFE,31783974.91239019
1615,APRO,AT,31782746.31879862
1616,dYdX (ethDYDX),ETHDYDX,31646711.71563325
1617,GAIA,GAIA,30779807.27554636
1618,elizaOS,ELIZAOS,30232110.49653055
1619,Surge,SURGE,29930411.30807573
1620,AB,AB,29637100.15310624
1621,Chiliz,CHZ,29027191.66259266
1622,SynFutures,F,28126775.11112994
1623,AUSD,AUSD,27903169.48048205
1624,OpenEden,EDEN,27477768.99370413
1625,VNDC,VNDC,27421450.69088724
1626,Sky,SKY,26915905.70485445
1627,Walrus,WAL,24575978.90720318
1628,Circle tokenized stock (xStock),CRCLX,22613078.31500722
1629,MemeCore,M,22109251.84652036
1630,BitTorrent [New],BTT,21912519.01821066
1631,OpenLedger,OPEN,21219503.21106836
1632,"4","4",20833356.23360591
1633,Uchain,UCN,20539050.91743425
1634,Four,FORM,20386851.25702316
1635,Intuition,TRUST,19667644.45487342
1636,Animecoin,ANIME,19633265.27778769
1637,MyShell,SHELL,19134349.04872012
1638,Folks Finance,FOLKS,18908997.59280933
1639,USD CoinVertible,USDCV,17484278.26256897
1640,StandX DUSD,DUSD,17173052.14564771
1641,Ore,ORE,17162857.14221208
1642,Infinity Ground,AIN,17111678.69466057
1643,Forest Protocol,FOREST,16735043.67975539
1644,Non-Playable Coin,NPC,15873507.14775082
1645,哈基米,哈基米,15535063.73075821
1646,Kusama,KSM,14311073.24896137
1647,Ribbita by Virtuals,TIBBIR,13676457.16570295
1648,Creditlink,CDL,13622413.97407272
1649,Ankr,ANKR,13525324.07753627
1650,Epic Chain,EPIC,12570262.70075467
1651,HarryPotterObamaSonic10Inu (ERC-20),BITCOIN,12299895.14978893
1652,ARAI,AA,12237305.31165168
1653,BUILDon,B,11298586.79540567
1654,Apple tokenized stock (xStock),AAPLX,9901727.27582104
1655,RedStone,RED,9861138.57975871
1656,Eurite,EURI,9392133.32938182
1657,Cobak Token,CBK,9330195.08819356
1658,Dusk,DUSK,9186271.64805432
1659,XPIN Network,XPIN,8468683.26593939
1660,Simon's Cat,CAT,8436271.08144479
1661,Union,U,7958876.63127664
1662,Mayflower AI,MAY,7952374.68224354
1663,Sperax,SPA,7921668.64140997
1664,DarkStar,DARKSTAR,7898473.20628207
1665,Cryptex Finance,CTX,7873812.0030417
1666,"375ai",EAT,7571731.88808536
1667,SuperTrust,SUT,7547959.49110624
1668,MEET48,IDOL,7165336.61765307
1669,Quack AI,Q,6982835.29282661
1670,U.S. Dollar Tokenized Currency (Ondo),USDON,6586238.51933359
1671,Meta tokenized stock (xStock),METAX,6547050.72958085
1672,GamerCoin,GHX,6456480.37492482
1673,Sologenic,SOLO,6194542.69426809
1674,Gravity (by Galxe),G,6187863.81674428
1675,PlaysOut,PLAY,5420915.09535618
1676,Mango Network,MGO,5400605.11711654
1677,Yala,YALA,5281525.45087594
1678,Solar,SXP,5018506.92981949
1679,Legacy Token,LGCT,4886833.72586486
1680,Fellaz,FLZ,4823214.16034021
1681,RHEA Finance,RHEA,4391345.4592396
1682,pSTAKE Finance,PSTAKE,4390998.18442209
1683,MicroStrategy tokenized stock (xStock),MSTRX,4306668.89099183
1684,Heima,HEI,4247566.17035162
1685,Polyhedra Network,ZKJ,4212862.50230247
1686,WeFi,WFI,4153301.1563878
1687,MultiBank Group,MBG,4044667.84386321
1688,BTSE Token,BTSE,3960266.68274529
1689,Tagger,TAG,3894427.7700977
1690,Wilder World,WILD,3888252.66262556
1691,Falcon USD,USDF,3815742.86325752
1692,OKZOO,AIOT,3806574.79096811
1693,Bitlayer,BTR,3741092.90309423
1694,AKEDO,AKE,3713189.56756503
1695,GOHOME,GOHOME,3467159.59150553
1696,Unstable Coin (usduc.org),USDUC,3449140.31207613
1697,StorX Network,SRX,3370187.15158024
1698,MetaMask USD,MUSD,3354074.86742997
1699,X Empire,X,3229643.40921399
1700,MARBLEX,MBX,3189115.91384084
1701,Argentine Football Association Fan Token,ARG,3161147.22830805
1702,Xertra,STRAX,3157512.95184806
1703,dKargo,DKA,2999070.12556627
1704,noice,NOICE,2990457.23665041
1705,InfinitiCoin,INCO,2948764.92479021
1706,SwissBorg,BORG,2937093.016654
1707,ECOMI,OMI,2900883.85067909
1708,Semantic Layer,"42",2876986.04903477
1709,Dino Tycoon,TYCOON,2825193.92925826
1710,Fireverse,FIR,2775635.66413212
